lon,lat,value,qc_reason
120.72,21.94,28.1,|R3_lat_low_coverage
120.6,21.97,28.6,|R3_lat_low_coverage
120.63,21.97,28.6,|R3_lat_low_coverage
120.66,21.97,27.8,|R3_lat_low_coverage
120.69,21.97,26.5,|R3_lat_low_coverage
120.72,21.97,28.7,|R3_lat_low_coverage
120.6,22.0,28.6,|R3_lat_low_coverage
120.63,22.0,28.6,|R3_lat_low_coverage
120.66,22.0,28.1,|R3_lat_low_coverage
120.69,22.0,28.5,|R3_lat_low_coverage
120.72,22.0,28.6,|R3_lat_low_coverage
120.6,22.03,28.5,
120.63,22.03,28.6,
120.66,22.03,26.7,
120.69,22.03,27.5,
120.72,22.03,28.2,
120.75,22.03,26.5,
121.44,22.03,27.0,
120.6,22.06,28.7,
120.63,22.06,28.6,
120.66,22.06,28.1,
120.69,22.06,28.1,
120.72,22.06,26.9,
120.75,22.06,27.4,
121.41,22.06,26.9,
120.6,22.09,28.7,|R3_lat_low_coverage
120.63,22.09,28.7,|R3_lat_low_coverage
120.66,22.09,27.7,|R3_lat_low_coverage
120.69,22.09,26.4,|R3_lat_low_coverage
120.72,22.09,26.9,|R3_lat_low_coverage
120.75,22.09,26.7,|R3_lat_low_coverage
120.6,22.12,28.4,|R3_lat_low_coverage
120.63,22.12,27.9,|R3_lat_low_coverage
120.66,22.12,28.2,|R3_lat_low_coverage
120.69,22.12,25.9,|R3_lat_low_coverage
120.72,22.12,26.7,|R3_lat_low_coverage
120.75,22.12,28.4,|R3_lat_low_coverage
120.6,22.15,26.8,|R3_lat_low_coverage
120.63,22.15,27.2,|R3_lat_low_coverage
120.66,22.15,27.9,|R3_lat_low_coverage
120.69,22.15,26.8,|R3_lat_low_coverage
120.72,22.15,25.7,|R3_lat_low_coverage
120.75,22.15,28.6,|R3_lat_low_coverage
120.6,22.18,26.1,|R3_lat_low_coverage
120.63,22.18,26.7,|R3_lat_low_coverage
120.66,22.18,25.7,|R3_lat_low_coverage
120.69,22.18,26.0,|R3_lat_low_coverage
120.72,22.18,26.5,|R3_lat_low_coverage
120.75,22.18,28.7,|R3_lat_low_coverage
120.6,22.21,28.6,|R3_lat_low_coverage
120.63,22.21,27.1,|R3_lat_low_coverage
120.66,22.21,27.8,|R3_lat_low_coverage
120.69,22.21,26.9,|R3_lat_low_coverage
120.72,22.21,26.2,|R3_lat_low_coverage
120.75,22.21,27.1,|R3_lat_low_coverage
120.57,22.24,28.3,
120.6,22.24,26.2,
120.63,22.24,25.6,
120.66,22.24,26.8,
120.69,22.24,25.9,
120.72,22.24,26.2,
120.75,22.24,27.6,
120.54,22.27,28.0,
120.57,22.27,28.3,
120.6,22.27,28.2,
120.63,22.27,26.9,
120.66,22.27,26.0,
120.69,22.27,24.4,
120.72,22.27,28.0,
120.75,22.27,28.1,
120.54,22.3,27.7,
120.57,22.3,25.7,
120.6,22.3,24.8,
120.63,22.3,24.4,
120.66,22.3,22.2,
120.69,22.3,27.3,
120.72,22.3,28.3,
120.75,22.3,28.8,
120.24,22.33,27.6,
120.51,22.33,28.9,
120.54,22.33,27.0,
120.57,22.33,25.4,
120.6,22.33,22.3,
120.63,22.33,24.3,
120.66,22.33,24.1,
120.69,22.33,25.8,
120.72,22.33,27.3,
120.75,22.33,25.2,
120.51,22.36,28.5,
120.54,22.36,26.8,
120.57,22.36,22.1,
120.6,22.36,22.1,
120.63,22.36,19.3,
120.66,22.36,24.4,
120.69,22.36,26.4,
120.72,22.36,27.8,
120.75,22.36,28.6,
120.78,22.36,28.8,
120.45,22.39,27.5,
120.48,22.39,27.8,
120.51,22.39,27.9,
120.54,22.39,26.9,
120.57,22.39,26.5,
120.6,22.39,24.8,
120.63,22.39,18.0,
120.66,22.39,23.9,
120.69,22.39,25.9,
120.72,22.39,27.0,
120.75,22.39,26.7,
120.78,22.39,28.7,
120.39,22.42,25.3,
120.42,22.42,25.2,
120.45,22.42,26.8,
120.48,22.42,27.2,
120.51,22.42,27.2,
120.54,22.42,25.3,
120.57,22.42,21.7,
120.6,22.42,25.3,
120.63,22.42,24.0,
120.66,22.42,19.4,
120.69,22.42,21.9,
120.72,22.42,22.5,
120.75,22.42,24.0,
120.78,22.42,26.0,
120.39,22.45,26.0,
120.42,22.45,26.1,
120.45,22.45,26.4,
120.48,22.45,26.7,
120.51,22.45,26.5,
120.54,22.45,22.4,
120.57,22.45,26.3,
120.6,22.45,25.1,
120.63,22.45,19.6,
120.66,22.45,19.2,
120.69,22.45,24.5,
120.72,22.45,26.5,
120.75,22.45,27.6,
120.78,22.45,28.3,
120.81,22.45,28.5,
120.33,22.48,25.3,
120.36,22.48,25.8,
120.39,22.48,25.8,
120.42,22.48,25.9,
120.45,22.48,26.1,
120.48,22.48,26.5,
120.51,22.48,26.4,
120.54,22.48,23.6,
120.57,22.48,19.8,
120.6,22.48,22.9,
120.63,22.48,18.2,
120.66,22.48,19.6,
120.69,22.48,18.3,
120.72,22.48,23.0,
120.75,22.48,25.2,
120.78,22.48,27.3,
120.81,22.48,25.1,
120.24,22.51,25.5,
120.27,22.51,25.7,
120.3,22.51,25.8,
120.33,22.51,25.8,
120.36,22.51,25.8,
120.39,22.51,25.8,
120.42,22.51,25.9,
120.45,22.51,25.9,
120.48,22.51,26.3,
120.51,22.51,26.3,
120.54,22.51,24.8,
120.57,22.51,25.0,
120.6,22.51,23.2,
120.63,22.51,12.8,
120.66,22.51,18.2,
120.69,22.51,20.7,
120.72,22.51,24.7,
120.75,22.51,26.8,
120.78,22.51,27.1,
120.81,22.51,28.0,
120.24,22.54,25.5,
120.27,22.54,24.4,
120.3,22.54,25.7,
120.33,22.54,26.3,
120.36,22.54,25.8,
120.39,22.54,25.8,
120.42,22.54,25.6,
120.45,22.54,26.0,
120.48,22.54,26.2,
120.51,22.54,25.7,
120.54,22.54,25.6,
120.57,22.54,24.6,
120.6,22.54,18.8,
120.63,22.54,12.8,
120.66,22.54,20.4,
120.69,22.54,22.3,
120.72,22.54,23.5,
120.75,22.54,22.6,
120.78,22.54,23.6,
120.81,22.54,26.6,
120.84,22.54,26.1,
120.21,22.57,25.5,
120.24,22.57,25.5,
120.27,22.57,25.5,
120.3,22.57,25.5,
120.33,22.57,25.6,
120.36,22.57,25.7,
120.39,22.57,25.6,
120.42,22.57,25.7,
120.45,22.57,25.9,
120.48,22.57,26.0,
120.51,22.57,26.4,
120.54,22.57,25.2,
120.57,22.57,24.8,
120.6,22.57,17.1,
120.63,22.57,7.9,
120.66,22.57,16.5,
120.69,22.57,23.0,
120.72,22.57,24.6,
120.75,22.57,25.7,
120.78,22.57,26.5,
120.81,22.57,25.2,
120.84,22.57,23.3,
120.18,22.6,25.6,
120.21,22.6,25.5,
120.24,22.6,25.5,
120.27,22.6,25.4,
120.3,22.6,25.4,
120.33,22.6,25.5,
120.36,22.6,25.5,
120.39,22.6,25.6,
120.42,22.6,25.7,
120.45,22.6,25.7,
120.48,22.6,25.0,
120.51,22.6,26.3,
120.54,22.6,22.1,
120.57,22.6,22.3,
120.6,22.6,21.0,
120.63,22.6,10.2,
120.66,22.6,16.1,
120.69,22.6,22.5,
120.72,22.6,23.8,
120.75,22.6,21.2,
120.78,22.6,25.0,
120.81,22.6,26.0,
120.84,22.6,25.9,
120.87,22.6,26.7,
120.15,22.63,26.4,
120.18,22.63,26.2,
120.21,22.63,26.0,
120.24,22.63,25.4,
120.27,22.63,25.4,
120.3,22.63,25.4,
120.33,22.63,25.4,
120.36,22.63,25.4,
120.39,22.63,25.5,
120.42,22.63,25.5,
120.45,22.63,25.6,
120.48,22.63,25.8,
120.51,22.63,26.0,
120.54,22.63,24.9,
120.57,22.63,21.2,
120.6,22.63,16.6,
120.63,22.63,8.2,
120.66,22.63,12.7,
120.69,22.63,19.6,
120.72,22.63,20.5,
120.75,22.63,18.2,
120.78,22.63,21.4,
120.81,22.63,20.6,
120.84,22.63,22.9,
120.87,22.63,25.0,
120.15,22.66,25.5,
120.18,22.66,25.6,
120.21,22.66,25.4,
120.24,22.66,25.3,
120.27,22.66,25.3,
120.3,22.66,25.3,
120.33,22.66,25.3,
120.36,22.66,24.5,
120.39,22.66,25.4,
120.42,22.66,25.5,
120.45,22.66,25.5,
120.48,22.66,25.5,
120.51,22.66,25.7,
120.54,22.66,20.2,
120.57,22.66,19.0,
120.6,22.66,22.7,
120.63,22.66,17.9,
120.66,22.66,16.7,
120.69,22.66,16.7,
120.72,22.66,17.7,
120.75,22.66,19.5,
120.78,22.66,22.5,
120.81,22.66,23.8,
120.84,22.66,25.4,
120.87,22.66,24.0,
120.9,22.66,27.3,
121.35,22.66,26.1,
120.18,22.69,25.4,
120.21,22.69,25.4,
120.24,22.69,25.4,
120.27,22.69,25.1,
120.3,22.69,24.7,
120.33,22.69,25.2,
120.36,22.69,25.3,
120.39,22.69,25.3,
120.42,22.69,25.4,
120.45,22.69,25.3,
120.48,22.69,25.3,
120.51,22.69,25.3,
120.54,22.69,22.4,
120.57,22.69,25.2,
120.6,22.69,24.5,
120.63,22.69,20.4,
120.66,22.69,13.8,
120.69,22.69,12.7,
120.72,22.69,15.5,
120.75,22.69,15.2,
120.78,22.69,19.0,
120.81,22.69,20.3,
120.84,22.69,23.1,
120.87,22.69,23.9,
120.9,22.69,26.9,
120.93,22.69,27.1,
120.15,22.72,25.3,
120.18,22.72,25.3,
120.21,22.72,25.4,
120.24,22.72,25.3,
120.27,22.72,25.0,
120.3,22.72,24.9,
120.33,22.72,25.2,
120.36,22.72,25.2,
120.39,22.72,25.2,
120.42,22.72,25.2,
120.45,22.72,25.2,
120.48,22.72,25.1,
120.51,22.72,24.1,
120.54,22.72,24.1,
120.57,22.72,24.7,
120.6,22.72,19.9,
120.63,22.72,15.1,
120.66,22.72,17.4,
120.69,22.72,18.6,
120.72,22.72,13.6,
120.75,22.72,11.6,
120.78,22.72,11.6,
120.81,22.72,20.1,
120.84,22.72,22.9,
120.87,22.72,23.6,
120.9,22.72,24.4,
120.93,22.72,26.7,
120.96,22.72,26.5,
120.99,22.72,26.6,
120.15,22.75,25.2,
120.18,22.75,25.3,
120.21,22.75,25.2,
120.24,22.75,25.2,
120.27,22.75,25.1,
120.3,22.75,24.2,
120.33,22.75,25.1,
120.36,22.75,24.7,
120.39,22.75,25.2,
120.42,22.75,25.2,
120.45,22.75,25.2,
120.48,22.75,25.2,
120.51,22.75,25.2,
120.54,22.75,23.6,
120.57,22.75,24.3,
120.6,22.75,24.3,
120.63,22.75,23.8,
120.66,22.75,22.7,
120.69,22.75,20.4,
120.72,22.75,18.1,
120.75,22.75,13.9,
120.78,22.75,9.5,
120.81,22.75,16.4,
120.84,22.75,21.0,
120.87,22.75,23.2,
120.9,22.75,24.7,
120.93,22.75,26.3,
120.96,22.75,26.5,
120.99,22.75,26.5,
121.02,22.75,25.6,
120.12,22.78,24.8,
120.15,22.78,25.2,
120.18,22.78,25.3,
120.21,22.78,25.2,
120.24,22.78,25.2,
120.27,22.78,24.9,
120.3,22.78,24.7,
120.33,22.78,24.9,
120.36,22.78,24.6,
120.39,22.78,25.2,
120.42,22.78,25.2,
120.45,22.78,25.3,
120.48,22.78,25.2,
120.51,22.78,25.3,
120.54,22.78,20.7,
120.57,22.78,21.9,
120.6,22.78,18.8,
120.63,22.78,17.4,
120.66,22.78,13.3,
120.69,22.78,19.8,
120.72,22.78,17.1,
120.75,22.78,14.8,
120.78,22.78,6.9,
120.81,22.78,13.0,
120.84,22.78,13.3,
120.87,22.78,17.9,
120.9,22.78,23.8,
120.93,22.78,25.0,
120.96,22.78,26.3,
120.99,22.78,26.6,
121.02,22.78,26.5,
121.05,22.78,26.5,
120.12,22.81,25.2,
120.15,22.81,25.2,
120.18,22.81,24.8,
120.21,22.81,25.2,
120.24,22.81,25.2,
120.27,22.81,24.9,
120.3,22.81,24.2,
120.33,22.81,24.5,
120.36,22.81,25.1,
120.39,22.81,25.2,
120.42,22.81,25.1,
120.45,22.81,25.1,
120.48,22.81,25.0,
120.51,22.81,25.0,
120.54,22.81,21.1,
120.57,22.81,22.4,
120.6,22.81,16.5,
120.63,22.81,9.9,
120.66,22.81,13.4,
120.69,22.81,14.3,
120.72,22.81,15.8,
120.75,22.81,8.9,
120.78,22.81,10.9,
120.81,22.81,16.3,
120.84,22.81,13.9,
120.87,22.81,18.3,
120.9,22.81,19.5,
120.93,22.81,24.7,
120.96,22.81,25.8,
120.99,22.81,23.5,
121.02,22.81,26.4,
121.05,22.81,25.9,
120.09,22.84,25.2,
120.12,22.84,25.2,
120.15,22.84,25.2,
120.18,22.84,25.1,
120.21,22.84,25.2,
120.24,22.84,25.1,
120.27,22.84,24.8,
120.3,22.84,24.7,
120.33,22.84,24.2,
120.36,22.84,25.1,
120.39,22.84,25.0,
120.42,22.84,25.0,
120.45,22.84,24.9,
120.48,22.84,24.9,
120.51,22.84,25.0,
120.54,22.84,22.0,
120.57,22.84,19.6,
120.6,22.84,19.3,
120.63,22.84,13.5,
120.66,22.84,8.2,
120.69,22.84,12.7,
120.72,22.84,14.0,
120.75,22.84,11.4,
120.78,22.84,16.2,
120.81,22.84,19.3,
120.84,22.84,17.7,
120.87,22.84,16.4,
